EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Manchester City;38;32;2;4;95;23;72;98;84.21;71;3;Pep Guardiola;Etihad Stadium;2018/2019
Liverpool;38;30;7;1;89;22;67;97;78.95;62;1;Jurgen Klopp;Anfield;2018/2019
Chelsea;38;21;9;8;63;39;24;72;55.26;69;3;Maurizio Sarri;Stamford Bridge;2018/2019
Tottenham Hotspur;38;23;2;13;67;39;28;71;60.53;63;4;Mauricio Pochettino;Tottenham Hotspur Stadium;2018/2019
Arsenal;38;21;7;10;73;51;22;70;55.26;71;4;Unai Emery;Emirates Stadium;2018/2019
Manchester United;38;19;9;10;65;54;11;66;50.00;67;4;Ole Gunnar Solskjaer;Old Trafford;2018/2019
Wolverhampton;38;16;9;13;47;46;1;57;42.11;70;2;Nuno Espirito Santo;Molineux Stadium;2018/2019
Everton;38;15;9;14;54;46;8;54;39.47;68;3;Marco Silva;Goodison Park;2018/2019
Leicester City;38;15;7;16;51;48;3;52;39.47;72;4;Brendan Rodgers;King Power Stadium;2018/2019
West Ham United;38;15;7;16;52;55;-3;52;39.47;70;5;Manuel Pellegrini;London Stadium;2018/2019
Watford;38;14;8;16;52;59;-7;50;36.84;74;4;Javi Gracia;Vicarage Road;2018/2019
Crystal Palace;38;14;7;17;51;53;-2;49;36.84;67;4;Roy Hodgson;Selhurst Park;2018/2019
Newcastle United;38;12;9;17;42;48;-6;45;31.58;65;3;Rafael Benitez;St James Park;2018/2019
Bournemouth;38;13;6;19;56;70;-14;45;34.21;68;4;Eddie Howe;Vitality Stadium;2018/2019
Burnley;38;11;7;20;45;68;-23;40;28.95;71;2;Sean Dyche;Turf Moor;2018/2019
Southampton;38;9;12;17;45;65;-20;39;23.68;73;4;Ralph Hasenhuttl;St Marys Stadium;2018/2019
Brighton;38;9;9;20;35;60;-25;36;23.68;70;3;Chris Hughton;Amex Stadium;2018/2019
Cardiff City;38;10;4;24;34;69;-35;34;26.32;69;5;Neil Warnock;Cardiff City Stadium;2018/2019
Fulham;38;7;5;26;34;81;-47;26;18.42;66;4;Scott Parker;Craven Cottage;2018/2019
Huddersfield Town;38;3;7;28;22;76;-54;16;7.89;67;3;Jan Siewert;John Smiths Stadium;2018/2019
