EQUIPO;PJ;PG;PE;PP;GF;GC;DG;PUNTOS;%VICTORIAS;TA;TR;ENTRENADOR;ESTADIO;TEMPORADA
Liverpool;38 ;25 ;9 ;4 ;86 ;41 ;45 ;84 ;65.79;65 ;3 ;ArneSlot;Anfield;2024/2025
Arsenal;38 ;20 ;14 ;4 ;69 ;34 ;35 ;74 ;52.63;64 ;6 ;MikelArteta;EmiratesStadium;2024/2025
ManCity;38 ;21 ;8 ;9 ;72 ;44 ;28 ;71 ;55.26;57 ;2 ;PepGuardiola;EtihadStadium;2024/2025
Chelsea;38 ;20 ;9 ;9 ;64 ;43 ;21 ;69 ;52.63;99 ;2 ;EnzoMaresca;StamfordBridge;2024/2025
Newcastle;38 ;20 ;6 ;12 ;68 ;47 ;21 ;66 ;52.63;68 ;1 ;EddieHowe;StJamesPark;2024/2025
AstonVilla;38 ;19 ;9 ;10 ;58 ;51 ;7 ;66 ;50 ;72 ;4 ;UnaiEmery;VillaPark;2024/2025
Forest;38 ;19 ;8 ;11 ;58 ;46 ;12 ;65 ;50 ;86 ;2 ;NunoSanto;CityGround;2024/2025
Brighton;38 ;16 ;13 ;9 ;66 ;59 ;7 ;61 ;42.11;76 ;3 ;FabianHurzeler;FalmerStadium;2024/2025
Bournemouth;38 ;15 ;11 ;12 ;58 ;46 ;12 ;56 ;39.47;97 ;3 ;AndoniIraola;DeanCourt;2024/2025
Brentford;38 ;16 ;8 ;14 ;66 ;57 ;9 ;56 ;42.11;62 ;1 ;ThomasFrank;GtechCommunityStadium;2024/2025
Fulham;38 ;15 ;9 ;14 ;54 ;54 ;0 ;54 ;39.47;81 ;2 ;MarcoSilva;CravenCottage;2024/2025
CrystalPalace;38 ;13 ;14 ;11 ;51 ;51 ;0 ;53 ;34.21;74 ;4 ;OliverGlasner;SelhurstPark;2024/2025
Everton;38 ;11 ;15 ;12 ;42 ;44 ;-2 ;48 ;28.95;80 ;2 ;DavidMoyes;GoodisonPark;2024/2025
WestHam;38 ;11 ;10 ;17 ;46 ;62 ;-16 ;43 ;28.95;78 ;3 ;GrahamPotter;LondonStadium;2024/2025
ManUtd;38 ;11 ;9 ;18 ;44 ;54 ;-10 ;42 ;28.95;84 ;3 ;RubenAmorim;OldTrafford;2024/2025
Wolves;38 ;12 ;6 ;20 ;54 ;69 ;-15 ;42 ;31.58;75 ;2 ;VictorPereira;MolineuxStadium;2024/2025
Tottenham;38 ;11 ;5 ;22 ;64 ;65 ;-1 ;38 ;28.95;70 ;1 ;AngePostecoglou;TottenhamHotspurStadium;2024/2025
Leicester;38 ;6 ;7 ;25 ;33 ;80 ;-47 ;25 ;15.79;87 ;0 ;VanNistelrooy;KingPowerStadium;2024/2025
Ipswich;38 ;4 ;10 ;24 ;36 ;82 ;-46 ;22 ;10.53;85 ;5 ;KieranMcKenna;PortmanRoad;2024/2025
Southampton;38 ;2 ;6 ;30 ;26 ;86 ;-60 ;12 ;5.26;89 ;3 ;SimonRusk;StMary'sStadium;2024/2025
